"presvote16post_2016","faminc_2016","pid3_2016","employ_2016","child18_2016","marstat_2016","educ_2016"
"Hillary Clinton","$30,000 - $39,999","Democrat","Student","No","Married","2-year"
"Donald Trump","$20,000 - $29,999","Republican","Part-time","No","Single","Post-grad"
"Donald Trump","Less than $10,000","Other","Permanently disabled","No","Single","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Part-time","No","Domestic partnership","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Widowed","4-year"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Married","Post-grad"
"Other","Less than $10,000","Independent","Retired","No","Single","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Domestic partnership","4-year"
"Jill Stein","$60,000 - $69,999","Independent","Unemployed","No","Married","High school graduate"
"Donald Trump","$20,000 - $29,999","Independent","Full-time","No","Single","High school graduate"
"Donald Trump","$30,000 - $39,999","Republican","Retired","No","Married","2-year"
"Hillary Clinton","$60,000 - $69,999","Independent","Homemaker","Yes","Married","High school graduate"
"Donald Trump","$40,000 - $49,999","Independent","Retired","No","Married","High school graduate"
"Donald Trump","$50,000 - $59,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$30,000 - $39,999","Republican","Full-time","Yes","Divorced","High school graduate"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","No","Divorced","High school graduate"
"Hillary Clinton","$20,000 - $29,999","Democrat","Part-time","No","Divorced","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Permanently disabled","No","Married","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$60,000 - $69,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Independent","Full-time","No","Married","Some college"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Married","High school graduate"
"Donald Trump","$100,000 - $119,999","Republican","Retired","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Independent","Full-time","No","Divorced","High school graduate"
"Gary Johnson","$70,000 - $79,999","Independent","Full-time","No","Single","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Single","Some college"
"Gary Johnson","$60,000 - $69,999","Republican","Full-time","Yes","Married","Some college"
"Hillary Clinton","$150,000 or more","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","Yes","Divorced","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Married","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Independent","Permanently disabled","No","Married","Some college"
"Donald Trump","$120,000 - $149,999","Republican","Retired","No","Married","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Married","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Single","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Married","Some college"
"","$50,000 - $59,999","Independent","Permanently disabled","No","Married","2-year"
"Donald Trump","$80,000 - $99,999","Republican","Retired","No","Married","4-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Permanently disabled","No","Widowed","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","No","Married","Some college"
"Hillary Clinton","$20,000 - $29,999","Republican","Part-time","No","Married","4-year"
"Donald Trump","$20,000 - $29,999","Independent","Full-time","No","Separated","Some college"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Domestic partnership","Some college"
"Hillary Clinton","$60,000 - $69,999","Democrat","Retired","No","Married","4-year"
"Donald Trump","$10,000 - $19,999","Independent","Part-time","No","Married","Some college"
"Hillary Clinton","$20,000 - $29,999","Independent","Part-time","No","Single","High school graduate"
"","$40,000 - $49,999","Democrat","Homemaker","Yes","Married","2-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Full-time","No","Single","4-year"
"Donald Trump","$60,000 - $69,999","Republican","Permanently disabled","No","Single","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Part-time","No","Married","Some college"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","No","Divorced","High school graduate"
"Hillary Clinton","$200,000 - $249,999","Independent","Full-time","Yes","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Democrat","Full-time","No","Single","Some college"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Single","Some college"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Married","High school graduate"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Republican","Part-time","No","Married","Post-grad"
"Donald Trump","$70,000 - $79,999","Democrat","Full-time","Yes","Domestic partnership","Some college"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$10,000 - $19,999","Independent","Full-time","No","Single","Some college"
"Hillary Clinton","$10,000 - $19,999","Democrat","Homemaker","No","Divorced","High school graduate"
"Hillary Clinton","$40,000 - $49,999","Independent","Retired","No","Married","High school graduate"
"Hillary Clinton","$10,000 - $19,999","Democrat","Part-time","No","Married","Some college"
"Hillary Clinton","$10,000 - $19,999","Democrat","Retired","No","Single","Some college"
"Donald Trump","$80,000 - $99,999","Republican","Part-time","No","Married","4-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Permanently disabled","Yes","Single","Some college"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","Yes","Widowed","4-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Full-time","No","Divorced","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","$30,000 - $39,999","Democrat","Homemaker","No","Married","2-year"
"Donald Trump","$500,000 or more","Republican","Other","No","Single","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","Some college"
"Jill Stein","$70,000 - $79,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$30,000 - $39,999","Democrat","Part-time","No","Married","High school graduate"
"Other","$50,000 - $59,999","Independent","Retired","No","Widowed","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Retired","No","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Married","Post-grad"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","No","Married","4-year"
"Other","$70,000 - $79,999","Republican","Full-time","No","Single","4-year"
"Donald Trump","$80,000 - $99,999","Independent","Part-time","Yes","Married","4-year"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$30,000 - $39,999","Democrat","Full-time","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Independent","Homemaker","No","Married","High school graduate"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","Yes","Married","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Retired","No","Single","4-year"
"","$30,000 - $39,999","Democrat","Part-time","No","Separated","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Retired","No","Divorced","High school graduate"
"Hillary Clinton","$40,000 - $49,999","Independent","Permanently disabled","No","Married","2-year"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Married","Post-grad"
"Hillary Clinton","$70,000 - $79,999","Democrat","Part-time","Yes","Single","4-year"
"Donald Trump","$80,000 - $99,999","Republican","Part-time","Yes","Married","4-year"
"Donald Trump","$10,000 - $19,999","Republican","Full-time","Yes","Divorced","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Democrat","Part-time","No","Married","Some college"
"","$10,000 - $19,999","Democrat","Retired","No","Divorced","Some college"
"","$10,000 - $19,999","Democrat","Permanently disabled","Yes","Divorced","Some college"
"Hillary Clinton","$10,000 - $19,999","Independent","Part-time","No","Married","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Democrat","Permanently disabled","No","Married","4-year"
"Donald Trump","$50,000 - $59,999","Republican","Homemaker","Yes","Married","High school graduate"
"Hillary Clinton","$20,000 - $29,999","Democrat","Permanently disabled","Yes","Single","2-year"
"Gary Johnson","$30,000 - $39,999","Independent","Homemaker","Yes","Married","High school graduate"
"Other","$50,000 - $59,999","Independent","Full-time","No","Married","2-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Retired","No","Married","High school graduate"
"Donald Trump","Prefer not to say","Not sure","Full-time","No","Married","4-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Widowed","2-year"
"Donald Trump","$120,000 - $149,999","Republican","Full-time","Yes","Married","2-year"
"Donald Trump","$40,000 - $49,999","Republican","Retired","No","Married","High school graduate"
"Donald Trump","Less than $10,000","Not sure","Unemployed","No","Single","High school graduate"
"Hillary Clinton","$60,000 - $69,999","Democrat","Retired","No","Divorced","Some college"
"Donald Trump","$50,000 - $59,999","Democrat","Permanently disabled","No","Married","2-year"
"","$60,000 - $69,999","Democrat","Full-time","Yes","Divorced","Some college"
"Donald Trump","$80,000 - $99,999","Republican","Retired","No","Married","High school graduate"
"Other","$30,000 - $39,999","Republican","Part-time","Yes","Divorced","2-year"
"Donald Trump","$30,000 - $39,999","Independent","Retired","No","Widowed","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Single","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$10,000 - $19,999","Republican","Other","No","Single","4-year"
"Donald Trump","Prefer not to say","Other","Full-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","No","Married","Some college"
"","Prefer not to say","Republican","Unemployed","No","Single","Some college"
"Hillary Clinton","$30,000 - $39,999","Independent","Unemployed","No","Married","4-year"
"","$120,000 - $149,999","Republican","Homemaker","Yes","Married","Post-grad"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","No","Single","Post-grad"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Widowed","Some college"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$10,000 - $19,999","Democrat","Retired","No","Single","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","4-year"
"Gary Johnson","$30,000 - $39,999","Independent","Unemployed","No","Single","2-year"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Married","2-year"
"Gary Johnson","$30,000 - $39,999","Republican","Full-time","No","Single","4-year"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","Yes","Married","4-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Permanently disabled","No","Divorced","Some college"
"","$150,000 - $199,999","Republican","Full-time","Yes","Married","4-year"
"","Prefer not to say","Democrat","Retired","No","Divorced","Some college"
"Donald Trump","$100,000 - $119,999","Republican","Homemaker","Yes","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Independent","Part-time","No","Single","4-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Full-time","No","Single","4-year"
"Hillary Clinton","Less than $10,000","Democrat","Permanently disabled","No","Divorced","Post-grad"
"Other","$80,000 - $99,999","Republican","Full-time","No","Married","Post-grad"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","Yes","Married","4-year"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Married","2-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Full-time","No","Divorced","Some college"
"Hillary Clinton","$200,000 - $249,999","Democrat","Full-time","Yes","Divorced","Post-grad"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Independent","Homemaker","No","Married","High school graduate"
"Other","$120,000 - $149,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$20,000 - $29,999","Republican","Part-time","No","Divorced","Post-grad"
"Donald Trump","$50,000 - $59,999","Independent","Part-time","No","Single","Some college"
"Donald Trump","$60,000 - $69,999","Independent","Full-time","No","Married","2-year"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Domestic partnership","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","Yes","Married","Some college"
"Donald Trump","$70,000 - $79,999","Independent","Part-time","No","Married","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Part-time","No","Married","Post-grad"
"Hillary Clinton","$20,000 - $29,999","Democrat","Part-time","No","Divorced","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Married","Post-grad"
"Donald Trump","$10,000 - $19,999","Republican","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Married","Some college"
"Donald Trump","$200,000 - $249,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$70,000 - $79,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","No","Married","Post-grad"
"Donald Trump","Prefer not to say","Democrat","Retired","No","Married","High school graduate"
"Donald Trump","$10,000 - $19,999","Republican","Unemployed","No","Single","4-year"
"Hillary Clinton","$10,000 - $19,999","Independent","Permanently disabled","No","Widowed","Some college"
"Donald Trump","$70,000 - $79,999","Republican","Retired","No","Married","4-year"
"Gary Johnson","Prefer not to say","Not sure","Part-time","Yes","Married","4-year"
"Donald Trump","$80,000 - $99,999","Republican","Retired","No","Married","4-year"
"Donald Trump","$150,000 - $199,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Divorced","High school graduate"
"Donald Trump","$100,000 - $119,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Part-time","No","Single","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Widowed","No HS"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","Some college"
"Donald Trump","$30,000 - $39,999","Independent","Permanently disabled","No","Married","High school graduate"
"Other","$70,000 - $79,999","Independent","Full-time","No","Married","Some college"
"Hillary Clinton","$20,000 - $29,999","Democrat","Full-time","No","Single","4-year"
"Donald Trump","$50,000 - $59,999","Independent","Retired","No","Divorced","2-year"
"Hillary Clinton","$100,000 - $119,999","Independent","Part-time","No","Married","2-year"
"Hillary Clinton","Prefer not to say","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$20,000 - $29,999","Independent","Part-time","No","Single","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Homemaker","Yes","Single","No HS"
"Donald Trump","$50,000 - $59,999","Republican","Retired","No","Widowed","2-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Homemaker","No","Married","No HS"
"Donald Trump","$40,000 - $49,999","Independent","Retired","No","Married","Some college"
"Hillary Clinton","$70,000 - $79,999","Independent","Full-time","No","Married","4-year"
"Donald Trump","$100,000 - $119,999","Democrat","Permanently disabled","No","Married","Some college"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Widowed","Some college"
"Other","Prefer not to say","Democrat","Retired","No","Single","4-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Married","High school graduate"
"Hillary Clinton","$120,000 - $149,999","Independent","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","Yes","Married","Post-grad"
"Donald Trump","$20,000 - $29,999","Republican","Full-time","No","Widowed","2-year"
"Jill Stein","$150,000 - $199,999","Independent","Full-time","No","Married","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Republican","Full-time","Yes","Single","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Retired","No","Single","Some college"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Married","4-year"
"Evan McMullin","$30,000 - $39,999","Republican","Part-time","Yes","Married","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","Yes","Married","4-year"
"Hillary Clinton","Less than $10,000","Independent","Permanently disabled","No","Single","High school graduate"
"Donald Trump","$40,000 - $49,999","Republican","Retired","No","Married","2-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Full-time","No","Married","High school graduate"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Divorced","Post-grad"
"Did not vote for President","$30,000 - $39,999","Republican","Full-time","No","Single","4-year"
"Gary Johnson","$30,000 - $39,999","Independent","Full-time","No","Domestic partnership","Post-grad"
"Hillary Clinton","$70,000 - $79,999","Democrat","Homemaker","No","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Independent","Student","No","Single","4-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Part-time","Yes","Married","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Single","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Single","Post-grad"
"Jill Stein","$30,000 - $39,999","Independent","Full-time","No","Domestic partnership","High school graduate"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Divorced","4-year"
"Hillary Clinton","$20,000 - $29,999","Republican","Retired","No","Married","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Homemaker","Yes","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","Yes","Married","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Independent","Permanently disabled","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Full-time","No","Domestic partnership","Some college"
"Hillary Clinton","$80,000 - $99,999","Independent","Part-time","No","Married","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Independent","Retired","No","Married","Some college"
"Other","Prefer not to say","Independent","Full-time","No","Married","4-year"
"Donald Trump","$150,000 - $199,999","Other","Retired","No","Married","Some college"
"Donald Trump","$20,000 - $29,999","Democrat","Retired","No","Divorced","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Divorced","4-year"
"Gary Johnson","$50,000 - $59,999","Independent","Homemaker","Yes","Married","4-year"
"Donald Trump","Prefer not to say","Independent","Retired","No","Widowed","Some college"
"Did not vote for President","$20,000 - $29,999","Republican","Full-time","No","Single","Some college"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Single","Post-grad"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Married","High school graduate"
"Donald Trump","$80,000 - $99,999","Independent","Retired","No","Married","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Widowed","4-year"
"Hillary Clinton","$70,000 - $79,999","Independent","Full-time","No","Divorced","4-year"
"Hillary Clinton","$10,000 - $19,999","Democrat","Part-time","No","Single","4-year"
"Donald Trump","$80,000 - $99,999","Republican","Full-time","Yes","Married","High school graduate"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","Some college"
"Donald Trump","$10,000 - $19,999","Republican","Retired","No","Widowed","High school graduate"
"Donald Trump","Prefer not to say","Other","Other","Yes","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Independent","Full-time","No","Single","2-year"
"Donald Trump","$60,000 - $69,999","Republican","Homemaker","No","Married","2-year"
"Donald Trump","$60,000 - $69,999","Independent","Full-time","No","Domestic partnership","4-year"
"Donald Trump","$250,000 - $349,999","Republican","Full-time","Yes","Married","Some college"
"","$20,000 - $29,999","Independent","Retired","No","Single","Some college"
"Hillary Clinton","$20,000 - $29,999","Democrat","Permanently disabled","No","Married","2-year"
"Hillary Clinton","$70,000 - $79,999","Independent","Full-time","No","Divorced","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Republican","Retired","No","Widowed","High school graduate"
"Hillary Clinton","$70,000 - $79,999","Independent","Retired","No","Married","Post-grad"
"Hillary Clinton","$120,000 - $149,999","Independent","Retired","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Divorced","Some college"
"Donald Trump","$40,000 - $49,999","Republican","Part-time","No","Married","Some college"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Married","High school graduate"
"Hillary Clinton","$20,000 - $29,999","Independent","Part-time","No","Divorced","Post-grad"
"Donald Trump","$70,000 - $79,999","Republican","Full-time","No","Married","2-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Part-time","No","Married","4-year"
"Donald Trump","$70,000 - $79,999","Republican","Permanently disabled","No","Single","High school graduate"
"Donald Trump","$40,000 - $49,999","Republican","Retired","No","Divorced","High school graduate"
"Hillary Clinton","$250,000 - $349,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Retired","No","Single","Some college"
"","$40,000 - $49,999","Republican","Full-time","No","Divorced","High school graduate"
"Hillary Clinton","$150,000 - $199,999","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","No","Single","Some college"
"Donald Trump","$100,000 - $119,999","Republican","Retired","No","Married","Some college"
"Donald Trump","Prefer not to say","Democrat","Full-time","Yes","Domestic partnership","Post-grad"
"Hillary Clinton","$200,000 - $249,999","Democrat","Full-time","No","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Domestic partnership","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Other","No","Widowed","High school graduate"
"Hillary Clinton","$40,000 - $49,999","Democrat","Full-time","No","Divorced","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Independent","Part-time","No","Domestic partnership","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Part-time","Yes","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Democrat","Homemaker","Yes","Married","Post-grad"
"Hillary Clinton","Prefer not to say","Democrat","Unemployed","No","Single","Some college"
"","$40,000 - $49,999","Independent","Permanently disabled","No","Domestic partnership","Some college"
"Hillary Clinton","$30,000 - $39,999","Independent","Full-time","No","Single","Post-grad"
"Hillary Clinton","$30,000 - $39,999","Democrat","Full-time","No","Divorced","Some college"
"Donald Trump","Less than $10,000","Democrat","Part-time","No","Widowed","No HS"
"Hillary Clinton","$20,000 - $29,999","Independent","Full-time","No","Single","2-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Full-time","Yes","Divorced","Post-grad"
"Donald Trump","$30,000 - $39,999","Independent","Permanently disabled","No","Married","2-year"
"Donald Trump","$80,000 - $99,999","Independent","Retired","No","Married","Some college"
"Jill Stein","Prefer not to say","Democrat","Full-time","No","Divorced","Post-grad"
"Donald Trump","$30,000 - $39,999","Independent","Full-time","No","Single","High school graduate"
"Hillary Clinton","$30,000 - $39,999","Independent","Part-time","No","Married","4-year"
"Hillary Clinton","$20,000 - $29,999","Independent","Part-time","Yes","Married","High school graduate"
"Donald Trump","$60,000 - $69,999","Independent","Full-time","No","Married","High school graduate"
"Donald Trump","$50,000 - $59,999","Independent","Permanently disabled","No","Married","Some college"
"Donald Trump","Prefer not to say","Republican","Part-time","Yes","Married","4-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Married","Some college"
"Hillary Clinton","Less than $10,000","Democrat","Other","No","Single","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Independent","Retired","No","Married","2-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Retired","No","Married","Some college"
"Donald Trump","$20,000 - $29,999","Republican","Retired","No","Married","2-year"
"Donald Trump","$60,000 - $69,999","Other","Retired","No","Married","Post-grad"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Widowed","4-year"
"Donald Trump","$70,000 - $79,999","Democrat","Full-time","Yes","Married","Some college"
"Hillary Clinton","$150,000 - $199,999","Democrat","Full-time","No","Single","Post-grad"
"Donald Trump","$100,000 - $119,999","Democrat","Full-time","No","Married","High school graduate"
"Hillary Clinton","$10,000 - $19,999","Democrat","Retired","No","Divorced","Some college"
"Gary Johnson","$120,000 - $149,999","Democrat","Full-time","Yes","Separated","Some college"
"Hillary Clinton","$100,000 - $119,999","Democrat","Full-time","No","Divorced","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Not sure","Retired","No","Divorced","Post-grad"
"Donald Trump","$20,000 - $29,999","Independent","Unemployed","No","Single","4-year"
"Donald Trump","$200,000 - $249,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Full-time","No","Divorced","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Married","Post-grad"
"Jill Stein","$120,000 - $149,999","Independent","Homemaker","No","Married","Some college"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Divorced","High school graduate"
"Donald Trump","$20,000 - $29,999","Independent","Part-time","No","Single","4-year"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Retired","No","Married","High school graduate"
"Hillary Clinton","Prefer not to say","Democrat","Full-time","No","Single","Post-grad"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Divorced","Some college"
"Hillary Clinton","$50,000 - $59,999","Democrat","Full-time","No","Single","Post-grad"
"Donald Trump","$50,000 - $59,999","Republican","Homemaker","Yes","Married","High school graduate"
"Donald Trump","$70,000 - $79,999","Republican","Homemaker","Yes","Married","4-year"
"Hillary Clinton","$80,000 - $99,999","Other","Part-time","No","Married","Some college"
"Hillary Clinton","$20,000 - $29,999","Democrat","Student","Yes","Married","Some college"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Single","High school graduate"
"Donald Trump","$30,000 - $39,999","Republican","Part-time","No","Single","4-year"
"Donald Trump","Prefer not to say","Democrat","Part-time","No","Married","Post-grad"
"Hillary Clinton","$80,000 - $99,999","Democrat","Full-time","No","Widowed","Post-grad"
"","$60,000 - $69,999","Republican","Homemaker","Yes","Married","High school graduate"
"Hillary Clinton","$50,000 - $59,999","Democrat","Part-time","No","Single","4-year"
"Donald Trump","$60,000 - $69,999","Republican","Retired","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Republican","Unemployed","No","Divorced","Some college"
"Hillary Clinton","$70,000 - $79,999","Democrat","Full-time","No","Married","4-year"
"Donald Trump","Prefer not to say","Independent","Full-time","No","Single","4-year"
"Hillary Clinton","$10,000 - $19,999","Democrat","Unemployed","No","Single","Some college"
"Hillary Clinton","$80,000 - $99,999","Other","Full-time","No","Married","4-year"
"Hillary Clinton","$250,000 - $349,999","Democrat","Full-time","No","Single","4-year"
"Donald Trump","$120,000 - $149,999","Republican","Retired","No","Married","Some college"
"Hillary Clinton","$100,000 - $119,999","Independent","Full-time","No","Divorced","Some college"
"Donald Trump","$80,000 - $99,999","Republican","Part-time","Yes","Married","4-year"
